chef,chef_years,years_opened
Bryan  Thomas,17,23
Janis  McLeanSocial Reform Kitchen and Bar,5,17
Stefano  Frigerio,9,9
Jeremiah  Langhorne,3,2
Robert  Yealu,2,47
James  Barton,4,4
Mark  Timms,4,32
Susan  Delbert,8,NA
James  Gee,2,51
Anthony  Lombardo,3,5
Nezzar  Battle14K Restaurant,1,NA
Nicolas  Legret,1,89
Ralf  Schlegel,3,94
Vatche  BenguianRoof Terrace,8,46
Vincent  Horville,11,154
Michael  BonkEatWellDC,4,5
Kevin  Bombardier,7,6
Mike  O'Malley,4,4
Quang  Duong,10,NA
Yves  Samake,6,NA
Gisell  Paula,1,1
Karen  Crawford,10,10
Eric  Eden,2,NA
Susan  MorrisonObama,3,NA
JohnPaul  DamatoSpecial Projects,10,24
Michael  Schlow,4,3
Todd  Gray,6,6
Paul  Madrid,12,12
Peter  Moutsos,7,NA
Oliver  Beckert,1,NA
Phillip  Blane,5,5
Hamilton  Johnson,7,24
Lauren  Von Der Pool,15,15
Eduardo  Ruberte,3,NA
Spike  Mendelsohn,7,7
Serge  Devesa,3,31
Joseph  Harran,5,5
Michael  Costa,7,15
Jennifer  Nguyen,4,8
Christianne  Ricchi,28,28
