name,rev,price
La Taquiza Mexican Grill,"3.8
62 Google reviews",$ · Restaurant
Solbar,"4.5
47 Google reviews",Indoor Lodging
Harvest Moon Cafe,"4.6
30 Google reviews",$$$ · Cafe
"Domo Gasoline
Company",None,"Headquarters: Winnipeg, Canada"
Sugo Caffe Italia,"3.8
19 Google reviews",Italian Restaurant
Bellanico Restaurant and Wine Bar,"4.4
53 Google reviews",$$ · Italian Restaurant · Glenview
Pampas,"4.2
295 Google reviews",$$$ · Brazilian Restaurant
"Camino
City in California",None,"Elevation: 3,133′"
Corso,"4.1
79 Google reviews",$$ · Italian Restaurant
Le Garage,"4.0
96 Google reviews",$$ · French Restaurant
Contigo,"4.3
108 Google reviews",$$$ · Tapas Bar
L'Ardoise,"4.7
100 Google reviews",$$$ · French Restaurant
Chiaro Scuro,"4.1
43 Google reviews",$$$ · Italian Restaurant
Riva Cucina,"4.5
37 Google reviews",$$ · Northern Italian Restaurant
Marinitas,"4.2
40 Google reviews",$$ · Mexican Restaurant
Flea Street,"4.4
90 Google reviews",$$$ · New American Restaurant
Bottega,"4.4
163 Google reviews",$$$ · Italian Restaurant
RN74,"4.0
148 Google reviews",$$$$ · French Restaurant
Brown Sugar Kitchen,"4.2
198 Google reviews",$$ · Soul Food Restaurant
Hong Kong East Ocean Seafood Restaurant,"3.9
103 Google reviews",$$ · Chinese Restaurant
Artisan Bistro,"4.2
20 Google reviews",$$$ · Bistro
Battambang,"4.2
33 Google reviews",$$ · Cambodian Restaurant
Grand Avenue Thai Cuisine,"4.3
29 Google reviews",$$ · Thai Restaurant
Sahn Maru Korean BBQ,"4.0
24 Google reviews",$$ · Restaurant
,,
Metro Lafayette,"3.7
21 Google reviews",$$ · Californian Restaurant
Va de Vi,"4.5
101 Google reviews",$$ · Small Plates Restaurant
Crouching Tiger Restaurant,"4.2
91 Google reviews",$$ · Chinese Restaurant
54 Mint,"4.1
116 Google reviews",$$$ · Italian Restaurant
Diavola Pizzeria & Salumeria,"4.6
65 Google reviews",$$ · Pizza Restaurant
First 5 California,None,Government Office
Donato Enoteca,"4.3
108 Google reviews",$$ · Italian Restaurant
"Madera
City in California",None,
South Legend Szechuan Cuisine,"4.3
56 Google reviews",Chinese Restaurant
Flour + Water,"4.3
415 Google reviews",$$$ · Italian Restaurant
Regalito Rosticeria,"3.7
65 Google reviews",$$ · Mexican Restaurant
The Peasant & The Pear,"4.3
71 Google reviews",$$$ · Californian Restaurant
La Costanera,"4.5
107 Google reviews",$$$ · Peruvian Restaurant
Martins West Gastropub,"4.4
114 Google reviews",$$$ · Gastropub
Viognier,"4.0
67 Google reviews",$$$ · French Restaurant
Vung Tau Restaurant,"4.2
109 Google reviews",$$ · Vietnamese Restaurant
Norman Rose Tavern,"4.2
41 Google reviews",$$ · Bar
Jannah,"4.3
25 Google reviews",$$ · Middle Eastern Restaurant
Piqueo's,"4.3
61 Google reviews",$$ · Peruvian Restaurant
Cetrella - Half Moon Bay,"4.0
43 Google reviews",$$$ · Mediterranean Restaurant
Wakuriya,"4.6
40 Google reviews",$$$$ · Japanese Restaurant
Baume,"4.4
70 Google reviews",$$$$ · French Restaurant
Farmstead at Long Meadow Ranch,"4.6
145 Google reviews",$$$ · American Restaurant
Mango On Main by mini mango Thai bistro,"4.3
10 Google reviews",Thai Restaurant
Bistro 29,"4.0
16 Google reviews",$$ · French Restaurant
Bangkok Jam Thai Restaurant,"4.0
10 Google reviews",$$ · Thai Restaurant
Osteria Stellina,"4.2
46 Google reviews",$$$ · Italian Restaurant
R'Noh Thai Restaurant,"4.6
24 Google reviews",$$ · Thai Restaurant
Hachi Ju Hachi,"4.5
34 Google reviews",$$ · Japanese Restaurant
