name,rating,numrev,goog_price,cuisine
Nougatine,4.2,44,$$$, French 
Liebman's,4.3,60,$, Kosher  
Anella,4.2,60,$$, American  
Bread &amp; Tulips,4.1,22,$$, Italian 
Kunjip,3.3,266,$$, Korean 
Rucola,4.4,101,$$, Italian  
Saraghina,4.4,197,$$, Italian  
Ramen Misoya,4.5,91,$, Ramen 
Mari Vanna,4.2,137,$$$, Russian 
Gradisca,4.1,57,$$$, Italian 
Il Buco Alimentari e Vineria,4.2,96,$$$$, Italian 
Left Bank,4.3,31,$$$, American 
Saxon + Parole,4.3,112,$$$, American 
Tertulia,4.2,85,$$, Spanish 
Casa Nonna,4.4,93,$$, Italian 
Chez Napoléon,4.1,43,$$$, French 
Lan Sheng,3.9,67,$$, Sichuan 
Miss Korea,4.1,240,$$, Korean Barbecue 
pizzArte,4.1,130,$$, Italian 
Tang Pavilion,4.0,61,$$, Chinese 
Jungsik,4.4,49,$$$$, Korean 
Tiny's,4.3,79,$$, Bar
Andaz,4.2,22,$$, 
Café Mingala,3.7,31,$$, Burmese 
Fatty Fish,4.2,49,$$, Asian Fusion 
Elizabeth's Neighborhood Table,4.2,53,$$, American 
Vai,4.3,38,$$, Mediterranean 
Battersby,4.4,53,$$$, American  
Black Swan,3.9,150,$$, American  
Bozu,4.4,103,$, Sushi  
Café Steinhof,4.0,103,$$, Austrian  
Chavela's,4.4,269,$$, Mexican 
Forcella,4.3,43,$$, Pizza 
Jolie Cantina,3.9,44,$$,  
Mill Basin Kosher Delicatessen,3.7,48,$$, Deli 
Mtskheta Café,4.5,22,$$, Georgian  
Roebling Tea Room,3.7,150,$$, Tea House 
The Saint Austere,4.8,32,$$, Wine Bar 
SoCo,4.1,202,$$, Southern  (US) 
Samurai Mama,4.4,85,$$, Japanese  
St. Anselm,4.5,125,$$, Steak House 
Agnanti,4.3,101,$$, Greek  
Alobar,4.6,59,$$, New American  
Co.,4.2,172,$$, Pizza 
North End Grill,4.5,80,$$$, American 
Almayass,4.5,65,$$, Mediterranean 
Anjappar,3.4,87,$$, Indian 
Acme,3.8,111,$$$, New American 
Bettolona,4.1,38,$$, Pizza Delivery
Café China,4.4,206,$$, Chinese 
Vitae,4.6,40,$$, American 
Añejo,4.0,107,$$, Mexican 
Hakkasan,4.1,106,$$$$, Chinese 
Kristalbelli,4.2,48,$$$, Korean 
Lugo,4.1,46,$$, Italian 
atera,4.7,43,$$$$, New American 
Zutto,4.0,65,$$, Japanese 
Yefsi,4.6,21,$$$, Greek 
Caffè Storico,4.3,28,$$$, Italian 
Allswell,4.2,82,$$, Gastropub 
Blanca,4.9,14,$$$$, New American  
Bar Corvo,4.2,51,$$, Italian  
Gran Eléctrica,4.0,98,$$, Mexican  
Pok Pok Ny,4.3,186,$$, Thai  
La Vara,4.5,64,$$$, Spanish  
M Shanghai,4.2,49,$$, Shanghainese  
Palo Santo,4.2,69,$$, Pan-Latin 
Petit Oven,4.6,29,$$$,  
Talde,4.1,89,$$$, Pan-Asian  
Casa Enríque,4.6,120,$$, Mexican  
Piccola Venezia,4.6,50,$$$, Italian  
Foragers City Table,4.4,73,$$$, American 
Sauce,3.9,74,$$, Italian 
Yopparai,4.4,23,$$$, Japanese 
Enoteca Maria,4.2,61,$$$, Italian  
Chop-Shop,4.1,39,$$, 
Land of Plenty,4.0,45,$$, Chinese 
Reynard,4.1,49,$$$, New American 
Asian Jewels,4.1,114,$$, Seafood  
Basil Brick Oven Pizza,4.7,51,$$, Pizza  
HinoMaru Ramen,4.2,94,$, Soul Food  
Bo Ky,3.8,72,$, Chinese 
Shanghai Heping,3.7,51,$$, Chinese 
Tabaré,4.6,66,$,  
Corner Social,3.9,131,$$, American 
Norma's,3.9,190,$$$, Brunch 
Tavola,4.2,108,$$$, Italian 
Bistro SK,4.2,14,$$$, French  
Mexicosina,4.8,35,$$, Mexican  
A-Wah,3.7,25,$$, Chinese 
Feast,4.5,384,$$$, American 
L'Apicio,4.2,36,$$$, Italian 
Malai Marke,4.3,59,$$, Indian 
Bhatti,4.1,169,$$, Indian 
Bocca,4.1,56,$$, Italian 
Hanjan,4.3,43,$$$, Korean 
Barraca,4.2,94,$$, Spanish 
Le Philosophe,4.2,17,$$$, French 
Murray's Cheese Bar,4.4,108,$$, American 
Maison Harlem,4.1,74,$$, French 
Cata,4.0,44,$$, Spanish 
SakaMai,4.6,44,$$, Japanese 
Caviar Russe,4.3,19,$$$$, New American 
Crave Fishbar,4.6,52,$$$, Seafood 
Obikà,3.9,33,$$, Italian 
Stella 34,4.1,57,$$$, Italian 
Ciccio,4.6,29,$$, Italian 
Cómodo,4.4,30,$$, Latin American 
Pearl &amp; Ash,4.2,35,$$$, New American 
Moti Mahal Delux,4.2,58,$$, Indian 
The Nuaa,4.1,16,$$, Thai 
Andanada,4.2,44,$$$, Spanish 
Neerob,4.2,77,$, Bangladeshi  
Ganso Ramen,4.1,132,$$, Ramen  
Nightingale 9,4.1,19,$, Asian  
Prospect,4.7,24,$$$, New American  
Ramen Yebisu,4.0,71,$, Ramen  
Runner &amp; Stone,4.5,44,$$, American  
Zizi Limona,4.7,47,$, Middle Eastern  
John Brown Smokehouse,4.5,196,$$, Barbecue  
Zum Stammtisch,4.4,128,$$, German  
Maysville,4.3,87,$$$, American 
Cull &amp; Pistol,4.4,62,$$$, Oyster Bar 
Pastai,4.2,28,$$$, Italian 
Royal Seafood,3.6,44,$$, Chinese 
Oda House,4.7,63,$$, Georgian 
Sushi Dojo,4.2,42,$$, Sushi 
ABC Cocina,4.2,79,$$$, Nuevo Latino 
Carbone,4.3,84,$$$$, Italian 
Lafayette,4.2,141,$$$, French 
Malaparte,4.5,62,$$, Italian 
ABV,3.8,34,$$, Bar
J. Restaurant Chez Asta,4.2,17,$$, African 
Vinatería,4.3,56,$$$, New American 
Sake Bar Hagi,4.4,192,$, Japanese 
Betony,4.4,61,$$$, New American 
The Musket Room,4.6,53,$$, New Zealand 
Uncle Boons,4.5,101,$$, Thai 
Kaia,4.3,44,$$, Wine Bar
Tanoshi,4.6,46,$$$, Sushi 
Mayfield,4.4,82,$$, American  
Mominette,3.8,47,$$, French  
Nargis Cafe,4.1,244,$$, Middle Eastern  
River Styx,3.9,30,$$,  
Xixa,4.5,35,$$, Mexican 
bún-ker,4.5,78,$$, Vietnamese  
Happy Family Hotpot,3.9,18,$,  
Mythos,4.1,19,$$, Greek  
Ichimura,4.8,21,$$$$, Japanese 
Charlie Bird,4.2,76,$$, Italian 
Estela,4.5,74,$$$, New American 
Il Bacco,4.0,33,$$, Italian  
Falansai,4.4,27,$, Vietnamese  
ZZ's Clam Bar,4.3,15,$$$, Seafood 
Luksus at Tørst,4.6,182,$, Scandinavian  
Joe &amp; MissesDoe,3.9,51,$, American 
East 12th Osteria,4.2,17,$$$, Italian 
Pagani,4.1,36,$$, Italian 
Armani Ristorante,4.5,17,$$$$, Italian 
Emilio's Ballato,4.7,54,$$$, Italian 
Khe-Yo,4.5,58,$$, Laotian 
Atrium,4.2,88,$$, New American  
Tong Sam Gyup Goo Yi,4.1,17,$$, Korean  
Toro,4.2,112,$$, Tapas 
Narcissa,4.2,88,$$$, American 
I Sodi,4.6,50,$$$, Italian 
Piora,4.7,33,$$$, New American 
Sushi Nakazawa,4.6,103,$$$$, Sushi 
Barawine,4.1,23,$$, New American 
The Cecil,3.7,88,$$, American 
Clement,4.8,9,$$, Bar
East Pole,4.0,32,$$$, American 
Aita,4.6,52,$$, Italian 
Dover,4.2,15,$$$, American  
M. Wells Steakhouse,4.3,42,$$$, Steak House 
Cafe Katja,4.7,93,$$, Brunch 
Contra,4.6,58,$$$$, New American 
Fung Tu,4.6,26,$$, Chinese 
Wallflower,4.5,39,$$, French 
Kang Ho Dong Baekjeong,4.2,160,$$$, Korean Barbecue 
Cagen,4.0,8,$$$, Japanese 
Somtum Der,4.3,97,$$, Thai 
The Gander,4.2,39,$$, American 
Gallagher's,4.0,256,$$$, Steak House
Mozzarella &amp; Vino,4.0,30,$$, Italian 
Hirohisa,4.7,13,$$$, Japanese 
Ristorante Morini,4.4,39,$$$$, Italian 
Gladys,4.4,69,$, Caribbean  
The River Café,4.2,338,$$$$, American  
Shalom Japan,4.5,41,$$, Jewish  
Snack EOS,4.2,29,$$, Greek 
Delaware and Hudson,4.7,38,$$$, American  
Wasan,4.4,17,$$$, Japanese 
Gato,4.3,96,$$$, Bar
Ivan Ramen,3.9,136,$$, Ramen 
The Simone,4.5,11,$$$, French 
French Louie,4.5,71,$$, French  
Bar Primi,4.2,53,$$, Pasta Shop
The Eddy,4.7,34,$$, New American 
Flinders Lane,4.5,30,$$, Australian 
Huertas,4.2,45,$$$, Basque 
