name,rev,price
Le Bernardin,"4.6
671 Google reviews",$$$$ · Seafood Restaurant
Per Se,"4.6
506 Google reviews",$$$$ · New American Restaurant
Spotted Pig,"4.1
922 Google reviews",$$$ · British Restaurant
Wallsé,"4.4
69 Google reviews",$$$ · Austrian Restaurant
Blue Hill,"4.5
241 Google reviews",$$$$ · American Restaurant
Masa,"4.4
6 Google reviews",$$$$ · Japanese Restaurant
Gramercy Tavern,"4.5
711 Google reviews",$$$$ · American Restaurant
Jewel Bako,"4.3
73 Google reviews",$$$ · Sushi Restaurant
Sushi of Gari,None,None
Jean-Georges,"4.4
485 Google reviews",$$$$ · French Restaurant
Public,"4.0
239 Google reviews",$$$$ · Eclectic Restaurant
The Modern,"4.5
280 Google reviews",$$$$ · New American Restaurant
Kyo Ya,"4.6
59 Google reviews",$$$$ · Japanese Restaurant
Soto,"4.1
60 Google reviews",$$$$ · Japanese Restaurant
Momofuku Ko,"4.5
164 Google reviews",$$$$ · American Restaurant
Sushi Azabu,"4.5
47 Google reviews",$$$ · Sushi Restaurant
Dovetail,"4.4
126 Google reviews",$$$$ · American Restaurant
Kajitsu,"4.4
30 Google reviews",$$$$ · Japanese Restaurant
Minetta Tavern,"4.2
347 Google reviews",$$$ · French Restaurant
Marea,"4.5
319 Google reviews",$$$$ · Italian Restaurant
Aldea,"4.0
88 Google reviews",$$$ · Portuguese Restaurant
Chef's Table at Brooklyn Fare,"3.6
61 Google reviews",$$$$ · French Restaurant · Brooklyn
Junoon,"4.0
274 Google reviews",$$$ · Indian Restaurant
Tulsi,"4.2
78 Google reviews",$$$ · Indian Restaurant
Ai Fiori,"4.4
154 Google reviews",$$$$ · Italian Restaurant
Brushstroke,"4.5
65 Google reviews",$$$$ · Japanese Restaurant
Jungsik,"4.4
49 Google reviews",$$$$ · Korean Restaurant
NoMad,None,None
Café China,"4.4
206 Google reviews",$$ · Chinese Restaurant
atera,"4.7
43 Google reviews",$$$$ · New American Restaurant
Blanca,"4.9
14 Google reviews",$$$$ · New American Restaurant · Brooklyn
Pok Pok Ny,"4.3
186 Google reviews",$$ · Thai Restaurant · Brooklyn
La Vara,"4.5
64 Google reviews",$$$ · Spanish Restaurant · Brooklyn
