name,rev,price
Old Jerusalem,"4.1
58 Google reviews",Middle Eastern Restaurant
Pizano's,None,None
Las Palmas,"4.1
76 Google reviews",$$ · Mexican Restaurant
Owen &amp; Engine,"4.5
152 Google reviews",$$ · British Restaurant
Isla,"4.3
85 Google reviews",$ · Southeast Asian Restaurant
Jin Ju,"4.3
25 Google reviews",Korean Restaurant
Sol de Mexico,"4.2
48 Google reviews",Restaurant
Arami,"4.5
65 Google reviews",$$$ · Japanese Restaurant
Bistronomic,"4.0
43 Google reviews",$$$ · Bistro
Chicago Kalbi,"4.2
30 Google reviews",$$ · Korean Barbecue Restaurant
Fish Bar,"4.1
96 Google reviews",$$ · Seafood Restaurant
Kanela,None,None
Del Seoul,"4.5
206 Google reviews",$ · Korean Restaurant
Chicago Cut,"4.0
179 Google reviews",$$$ · Steak House
Hubbard Inn,"4.0
95 Google reviews",$$ · Brunch Restaurant
Mastro's,"4.6
140 Google reviews",$$$ · Restaurant
Due Lire,"4.4
20 Google reviews",Italian Restaurant
Bangers &amp; Lace,None,None
Frontier,"4.1
107 Google reviews",$$ · American Restaurant
Royal Thai,"4.4
47 Google reviews",$$ · Thai Restaurant
Gemini Bistro,"4.2
39 Google reviews",$$ · American Restaurant
Pequod's Pizza,"4.3
658 Google reviews",$$ · Pizza Restaurant
GT Fish &amp; Oyster,"4.4
148 Google reviews",$$$ · Seafood Restaurant
Jin Thai,"4.5
36 Google reviews",Thai Restaurant
Aquitaine,"4.0
16 Google reviews",$$ · French Restaurant
Perennial Virant,"4.2
79 Google reviews",$$$ · American Restaurant
Maude's Liquor Bar,"4.6
110 Google reviews",$$$ · French Restaurant
La Encantada,"4.7
19 Google reviews",$ · Restaurant
TAC Quick,"4.3
86 Google reviews",$$ · Thai Restaurant
Fat Willy's,"4.2
118 Google reviews",$$ · Barbecue Restaurant
Cho Sun Ok,"3.9
170 Google reviews",$ · Korean Restaurant
Home Bistro,"4.2
55 Google reviews",$$ · American Restaurant
Union Sushi + Barbeque Bar,"4.4
145 Google reviews",$$ · Asian Restaurant
Michael Jordan's,"4.1
173 Google reviews",$$$ · Steak House
Pump Room,"4.2
117 Google reviews",$$ · American Restaurant
Greentea,"4.7
30 Google reviews",$ · Japanese Restaurant
Roka Akor,"4.4
110 Google reviews",$$ · Japanese Steakhouse
Vera,"4.5
24 Google reviews",$$$ · Tapas Restaurant
Goosefoot,"4.5
15 Google reviews",$$$ · French Restaurant
Acadia,"4.6
58 Google reviews",$$$ · American Restaurant
Cai,"3.8
62 Google reviews",$$ · Chinese Restaurant
Yusho,"4.2
74 Google reviews",$$ · Japanese Restaurant
Balena,"4.6
81 Google reviews",$$ · Italian Restaurant
RPM,"4.4
250 Google reviews",$$ · Italian Restaurant
Sixteen,"4.1
63 Google reviews",$$$$ · Fine Dining Restaurant
Slurping Turtle,"4.2
195 Google reviews",$$ · Ramen Restaurant
Au Cheval,"4.6
524 Google reviews",$$ · American Restaurant
Grange Hall Burger Bar,"4.5
138 Google reviews",$$ · Hamburger Restaurant
Nellcôte,"4.3
92 Google reviews",$$ · American Restaurant
Ombra,"3.8
20 Google reviews",Italian Restaurant
Ada St.,"4.7
60 Google reviews",$$ · Bar
Antique Taco,"4.5
215 Google reviews",$ · Taco Restaurant
Black Bull,"4.2
43 Google reviews",Spanish Restaurant
Briciola,"4.8
30 Google reviews",$$ · Italian Restaurant
Red Door,"4.3
56 Google reviews",$$ · Eclectic Restaurant
Trenchermen,"4.5
79 Google reviews",$$ · American Restaurant
Yuzu,"4.7
114 Google reviews",$ · Japanese Restaurant
Bread &amp; Wine,"4.5
37 Google reviews",$$ · New American Restaurant
Bakin' &amp; Eggs,"4.3
108 Google reviews",$$ · Breakfast Restaurant
Wood,"4.2
60 Google reviews",$$ · New American Restaurant
Pizzeria da Nella,"4.4
42 Google reviews",$$ · Pizza Restaurant
EL Ideas,"4.6
40 Google reviews",$$$$ · American Restaurant
The Piggery,"4.0
79 Google reviews",$ · Hamburger Restaurant
gather,"4.6
70 Google reviews",$$ · American Restaurant
Vincent,"4.6
29 Google reviews",$$ · Bistro
Enso,"4.5
26 Google reviews",Asian Restaurant
Oiistar,"4.4
89 Google reviews",Japanese Restaurant
Takito Kitchen,"4.2
48 Google reviews",$ · Mexican Restaurant
Homestyle Taste,"4.7
32 Google reviews",Chinese Restaurant
Elizabeth,"4.7
27 Google reviews",$$$ · American Restaurant
ATK,"4.4
51 Google reviews",$ · Thai Restaurant
Milt's Barbecue for the Perplexed,"4.3
71 Google reviews",$$ · Barbecue Restaurant
Rickshaw Republic,"4.4
50 Google reviews",$ · Indonesian Restaurant
Pl-zeň,"4.6
59 Google reviews",$$ · Gastropub
Bub City,"4.0
175 Google reviews",$$ · Barbecue Restaurant
The Lobby,"4.1
20 Google reviews",$$$ · American Restaurant
bellyQ,"4.3
108 Google reviews",$$ · Asian Restaurant
Embeya,"4.5
44 Google reviews",$$$ · Thai Restaurant
Grace,"4.6
41 Google reviews",$$$$ · New American Restaurant
Little Goat Diner,None,None
Nando Milano Trattoria,"4.4
30 Google reviews",Italian Restaurant
Fat Rice,"4.5
79 Google reviews",$$ · Southeast Asian Restaurant
Parson's Chicken &amp; Fish,"4.3
205 Google reviews",$ · Chicken Restaurant
"Table, Donkey and Stick","4.4
66 Google reviews",$$ · Eclectic Restaurant
Bar Pastoral,"4.4
21 Google reviews",$ · American Restaurant
The Boarding House,"4.3
52 Google reviews",$$$ · New American Restaurant
Brindille,"4.3
12 Google reviews",$$$$ · French Restaurant
Siena Tavern,"4.4
195 Google reviews",$$ · Italian Restaurant
Sumi Robata Bar,"4.5
29 Google reviews",$$$ · Japanese Restaurant
